"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"ebi-a-GCST90001394","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001394","MR Egger",25,0.0110236882582688,0.0100500620817651,0.284046813361481,-0.00867443342199074,0.0307218099385284,1.01108467299591,0.991363080925337,1.03119859478027
"ebi-a-GCST90001394","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001394","Weighted median",25,-0.00049666671667691,0.0116531386038662,0.966003771669755,-0.0233368183802546,0.0223434849469008,0.99950345660182,0.976933379233749,1.02259497013251
"ebi-a-GCST90001395","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001395","Inverse variance weighted",22,0.0148439281073446,0.0116466172521444,0.202476711310346,-0.00798344170685836,0.0376712979215475,1.01495464636111,0.992048341328309,1.03838985587204
"ebi-a-GCST90001395","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001395","MR Egger",22,0.017593787248713,0.0130799892843379,0.193650597624913,-0.00804299174858931,0.0432305662460154,1.01774946959745,0.991989266567154,1.04417861944252
"ebi-a-GCST90001395","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001395","Weighted median",22,0.0156090068884149,0.0153635176156445,0.309639522450428,-0.0145034876382483,0.0457215014150781,1.01573146375014,0.985601181306011,1.04678284281772
"ebi-a-GCST90001396","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001396","Inverse variance weighted",17,-0.0688583250857444,0.0274113506394038,0.0120036526657452,-0.122584572338976,-0.015132077832513,0.933458918422781,0.884631086459629,0.984981836745338
"ebi-a-GCST90001396","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001396","MR Egger",17,-0.0222110932260122,0.0636354203879796,0.731913086441427,-0.146936517186452,0.102514330734428,0.978033756958008,0.863348783486528,1.10795317957881
"ebi-a-GCST90001396","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001396","Weighted median",17,-0.0769105636547493,0.038660698889298,0.0466600101077142,-0.152685533477773,-0.00113559383172532,0.925972665514249,0.858399617314957,0.998865050710947
"ebi-a-GCST90001397","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001397","Inverse variance weighted",31,0.00831816219837893,0.0159629213693087,0.602302178488535,-0.022969163685466,0.0396054880822239,1.00835285423417,0.977292619411243,1.04040024292288
"ebi-a-GCST90001397","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001397","MR Egger",31,-0.00899215306268964,0.0217599366506828,0.682468015691598,-0.0516416288980279,0.0336573227726486,0.991048155435119,0.949669139843397,1.03423013888112
"ebi-a-GCST90001397","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001397","Weighted median",31,0.00862753007984498,0.0194219762545086,0.656887263862807,-0.0294395433789918,0.0466946035386818,1.00866485447939,0.970989578615702,1.04780196519967
"ebi-a-GCST90001398","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001398","Inverse variance weighted",20,-0.0293363598263018,0.0246380295660995,0.233773640972076,-0.0776268977758569,0.0189541781232533,0.971089773939215,0.925309597216305,1.01913494887147
"ebi-a-GCST90001398","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001398","MR Egger",20,-0.105254818855378,0.0428513647755952,0.0244245524111594,-0.189243493815545,-0.0212661438952117,0.900095132149697,0.827584970337186,0.978958386097187
"ebi-a-GCST90001398","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001398","Weighted median",20,-0.0578469675405249,0.0352470526860874,0.100758821956311,-0.126931190805256,0.0112372557242065,0.94379436755934,0.880794277257007,1.01130063084734
"ebi-a-GCST90001399","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001399","Inverse variance weighted",15,0.0063498169245854,0.0326846642728755,0.84596046941839,-0.0577121250502506,0.0704117588994214,1.00637001975085,0.943921639722823,1.07294988697444
"ebi-a-GCST90001399","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001399","MR Egger",15,0.0616864937265513,0.0609421882941658,0.329905684391012,-0.0577601953300137,0.181133182783116,1.06362883813918,0.943876266236094,1.19857479819112
"ebi-a-GCST90001399","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001399","Weighted median",15,0.0160814253119882,0.0346505738278588,0.64257415828319,-0.051833699390615,0.0839965500145915,1.01621142736992,0.949486753939949,1.08762514151149
"ebi-a-GCST90001400","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001400","Inverse variance weighted",14,0.00188091139828348,0.0105486308682003,0.858480640388407,-0.018794405103389,0.022556227899956,1.00188268142171,0.981381108450628,1.02281254314898
"ebi-a-GCST90001400","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001400","MR Egger",14,0.00522689874883247,0.0128736465166874,0.691877898669194,-0.0200054484238749,0.0304592459215398,1.00524058281545,0.98019333278345,1.03092787467715
"ebi-a-GCST90001400","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001400","Weighted median",14,0.00048492539919101,0.0125150212969573,0.969091727049877,-0.0240445163428452,0.0250143671412273,1.00048504299452,0.97624225005588,1.02532985147739
"ebi-a-GCST90001401","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001401","Inverse variance weighted",25,0.0129850154441242,0.0227647116967757,0.56840571789432,-0.0316338194815562,0.0576038503698046,1.01306968684674,0.968861295262105,1.05929527314858
"ebi-a-GCST90001401","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001401","MR Egger",25,0.084592176039797,0.0532059260972361,0.125509826718348,-0.0196914391107857,0.18887579119038,1.08827315231833,0.980501170948068,1.20789091247256
"ebi-a-GCST90001401","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001401","Weighted median",25,0.0233012157559506,0.0301001304775955,0.438857812789991,-0.0356950399801365,0.0822974714920377,1.02357480997709,0.964934515066814,1.08577875001921
"ebi-a-GCST90001402","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001402","Inverse variance weighted",13,0.0246891565980766,0.0264212723959079,0.350075746497557,-0.0270965372979028,0.076474850494056,1.02499645761402,0.973267280395646,1.0794750417318
"ebi-a-GCST90001402","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001402","MR Egger",13,0.0384585611681386,0.0408996579069586,0.367246765860853,-0.0417047683295002,0.118621890665777,1.03920766391407,0.959152911092086,1.12594410781499
"ebi-a-GCST90001402","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001402","Weighted median",13,0.0278511738859109,0.0350235217190866,0.426489376671284,-0.0407949286834988,0.0964972764553207,1.02824264367648,0.960025983554918,1.10130658168203
"ebi-a-GCST90001403","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001403","Inverse variance weighted",23,-0.000747041110075884,0.0190551128264165,0.968727557657617,-0.0380950622498523,0.0366009800297005,0.999253237855664,0.962621427582876,1.03727904319797
"ebi-a-GCST90001403","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001403","MR Egger",23,-0.000213548327724672,0.0269658248136718,0.993756191877872,-0.0530665649625214,0.052639468307072,0.999786474472096,0.94831688570335,1.05404955833511
"ebi-a-GCST90001403","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001403","Weighted median",23,0.000936446852571068,0.0289044525787357,0.974154646442431,-0.0557162802017509,0.0575891739068931,1.00093688545582,0.945807442123363,1.05927972655488
"ebi-a-GCST90001404","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001404","Inverse variance weighted",26,0.0124218252936545,0.0144226924573927,0.389089623255214,-0.0158466519228351,0.0406903025101441,1.01249929661153,0.984278245659281,1.04152949652177
"ebi-a-GCST90001404","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001404","MR Egger",26,-0.0128884974160744,0.018680542838674,0.496848446479353,-0.0495023613798754,0.0237253665477266,0.987194203588245,0.951702910801708,1.02400905212875
"ebi-a-GCST90001404","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001404","Weighted median",26,-0.00160274457372383,0.0195097208193366,0.934526576922587,-0.0398417973796236,0.0366363082321759,0.99839853913545,0.960941450583213,1.03731568904934
"ebi-a-GCST90001405","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001405","Inverse variance weighted",24,-0.00213070050109959,0.011767552525122,0.856315982590287,-0.0251951034503387,0.0209337024481395,0.997871567829882,0.975119644260899,1.02115434935987
"ebi-a-GCST90001405","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001405","MR Egger",24,0.00565405047429675,0.0138160948349465,0.686322956417291,-0.0214254954021984,0.0327335963507919,1.00567006478536,0.978802400031722,1.03327523427876
"ebi-a-GCST90001405","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001405","Weighted median",24,-0.00983767134821106,0.0173146989829364,0.569920370202922,-0.0437744813547663,0.0240991386583442,0.99021056024879,0.957169792769614,1.02439186969226
"ebi-a-GCST90001406","summary_stats_release_finngen_R12_FE","summary_stats_release_finngen_R12_FE","ebi-a-GCST90001406","Inverse variance weighted",28,0.000501176346558108,0.0165016362589654,0.975770923848807,-0.0318420307210141,0.0328443834141303,1.00050130195641,0.968659588450497,1.03338971414892
