"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"ebi-a-GCST90001397","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001397","Inverse variance weighted",31,0.000818396231899075,0.0163340230914121,0.960039690816557,-0.0311962890272686,0.0328330814910668,1.00081873120947,0.969285294334252,1.03337803492387
"ebi-a-GCST90001397","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001397","MR Egger",31,-0.0129925307090173,0.0224624453657544,0.567451727787282,-0.0570189236258959,0.0310338622078612,0.987091507866451,0.944576194390861,1.03152043285444
"ebi-a-GCST90001397","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001397","Weighted median",31,-0.000531260154612884,0.0211790602463911,0.979987788797082,-0.0420422182375395,0.0409796979283137,0.999468880939076,0.958829299634842,1.04183095400406
"ebi-a-GCST90001398","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001398","Inverse variance weighted",20,-0.0306609194979054,0.0294613047828516,0.298006300048784,-0.0884050768722945,0.0270832378764837,0.969804359079424,0.915389998293821,1.02745332223694
"ebi-a-GCST90001398","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001398","MR Egger",20,-0.107631528532576,0.0477428062715169,0.0368675649541053,-0.201207428824749,-0.0140556282404026,0.897958407531575,0.817742790534262,0.986042690917321
"ebi-a-GCST90001398","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001398","Weighted median",20,-0.0703495632728868,0.0392647689116724,0.0731856193068772,-0.147308510339765,0.00660938379399117,0.932067946230695,0.863027683377374,1.00663127397135
"ebi-a-GCST90001399","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001399","Inverse variance weighted",15,0.00597080685364541,0.0339640573093634,0.860452791136962,-0.0605987454727068,0.0725403591799977,1.00598866765098,0.941200825109199,1.07523620086583
"ebi-a-GCST90001399","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001399","MR Egger",15,0.0805158784712052,0.0613620681973245,0.212168729686902,-0.0397537751955509,0.200785532137961,1.08384605632401,0.96102603847121,1.22236258621864
"ebi-a-GCST90001399","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001399","Weighted median",15,0.0382279152695211,0.0388763641917971,0.32544985799459,-0.0379697585464012,0.114425589085443,1.03896800256809,0.962742055170157,1.12122920626911
"ebi-a-GCST90001400","summary_stats_release_finngen_R12_FE_MODE","summary_stats_release_finngen_R12_FE_MODE","ebi-a-GCST90001400","Inverse variance weighted",14,0.00102683176826065,0.0113152670923844,0.927693257118561,-0.0211510917328128,0.0232047552693341,1.00102735914049,0.97907102385589,1.02347608021467
